"area";"parameter";"sample";"levels";"cond.mad";"decile"
"CH";"c";"random";"4";0,0315766729129303;1,2099447708
"CH";"c";"random";"5";0,0331093624009767;1,384297061
"CH";"c";"random";"6";0,00958189496731509;1,5189612434
"CH";"c";"random";"7";0,00886385898707881;1,78747873
"CH";"c";"random";"8";0,0177362204216265;1,9146900208
"CH";"c";"random";"9";0,0157020405166155;2,1060819842
"CH";"c";"random";"10";0,00746333330649132;3,965708718
"CH";"c";"stratified";"1";0,0129709558395248;0,2066436016
"CH";"c";"stratified";"2";0,0208017607707049;0,839717102
"CH";"c";"stratified";"3";0,0126389176153398;1,132812509
"CH";"c";"stratified";"4";0,0314093867466589;1,2099447708
"CH";"c";"stratified";"5";0,0330015798620272;1,384297061
"CH";"c";"stratified";"6";0,0137434039494162;1,5189612434
"CH";"c";"stratified";"7";0,011350457952777;1,78747873
"CH";"c";"stratified";"8";0,0257708174229829;1,9146900208
"CH";"c";"stratified";"9";0,0240567967221134;2,1060819842
"CH";"c";"stratified";"10";0,0119988537033428;3,965708718
"CH";"c";"uniform";"1";0,038292271301406;0,2066436016
"CH";"c";"uniform";"2";0,0661469972133628;0,839717102
"CH";"c";"uniform";"3";0,0562030919688592;1,132812509
"CH";"c";"uniform";"4";0,0768524464197512;1,2099447708
"CH";"c";"uniform";"5";0,0982475762452038;1,384297061
"CH";"c";"uniform";"6";0,04924188061908;1,5189612434
"CH";"c";"uniform";"7";0,038272148677308;1,78747873
"CH";"c";"uniform";"8";0,0658806583711095;1,9146900208
"CH";"c";"uniform";"9";0,0641614891763548;2,1060819842
"CH";"c";"uniform";"10";0,0368209422982226;3,965708718
"CN";"a";"random";"1";0,296037119133325;0,5992593695
"CN";"a";"random";"2";0,283501279643895;0,772620984080001
"CN";"a";"random";"3";0,273942322966741;0,96851704114
"CN";"a";"random";"4";0,4707211714977;1,2536845068
"CN";"a";"random";"5";0,199865404233125;1,4130735003
"CN";"a";"random";"6";0,754334970250692;1,71088576956
"CN";"a";"random";"7";0,39806824960972;1,8841659507
"CN";"a";"random";"8";0,887104906427662;2,02631593736
"CN";"a";"random";"9";1,08405139578415;2,3468096817
"CN";"a";"random";"10";0,634366794546463;4,309598755
"CN";"a";"stratified";"1";0,16556429788524;0,5992593695
"CN";"a";"stratified";"2";0,158916291138655;0,772620984080001
"CN";"a";"stratified";"3";0,157339310426183;0,96851704114
"CN";"a";"stratified";"4";0,236631304200878;1,2536845068
"CN";"a";"stratified";"5";0,0705365174365322;1,4130735003
"CN";"a";"stratified";"6";0,596806204295101;1,71088576956
"CN";"a";"stratified";"7";0,326995876885633;1,8841659507
"CN";"a";"stratified";"8";0,777369004320389;2,02631593736
"CN";"a";"stratified";"9";1,0607614334575;2,3468096817
"CN";"a";"stratified";"10";0,642807198436543;4,309598755
"CN";"a";"uniform";"1";0,425717255542041;0,5992593695
"CN";"a";"uniform";"2";0,275600086724891;0,772620984080001
"CN";"a";"uniform";"3";0,226628534571306;0,96851704114
"CN";"a";"uniform";"4";0,245914326336052;1,2536845068
"CN";"a";"uniform";"5";0,120082462085371;1,4130735003
"CN";"a";"uniform";"6";0,34213190387128;1,71088576956
"CN";"a";"uniform";"7";0,148823137034267;1,8841659507
"CN";"a";"uniform";"8";0,543430738967444;2,02631593736
"CN";"a";"uniform";"9";0,721328943944422;2,3468096817
"CN";"a";"uniform";"10";0,506638995250445;4,309598755
"CN";"b";"random";"1";0,0403604641016944;0,5992593695
"CN";"b";"random";"2";0,221261457849613;0,772620984080001
"CN";"b";"random";"3";0,107842852210892;0,96851704114
"CN";"b";"random";"4";0,290864325179676;1,2536845068
"CN";"b";"random";"5";0,187847632181073;1,4130735003
"CN";"b";"random";"6";0,307411531553271;1,71088576956
"CN";"b";"random";"7";0,335954895916528;1,8841659507
"CN";"b";"random";"8";0,527014896478212;2,02631593736
"CN";"b";"random";"9";0,699148725629641;2,3468096817
"CN";"b";"random";"10";1,17123875373447;4,309598755
"CN";"b";"stratified";"1";0,0538406517458739;0,5992593695
"CN";"b";"stratified";"2";0,131996763620329;0,772620984080001
"CN";"b";"stratified";"3";0,0574775365280311;0,96851704114
"CN";"b";"stratified";"4";0,127364602892801;1,2536845068
"CN";"b";"stratified";"5";0,0903789406805009;1,4130735003
"CN";"b";"stratified";"6";0,0769495822037646;1,71088576956
"CN";"b";"stratified";"7";0,0507482230737817;1,8841659507
"CN";"b";"stratified";"8";0,0656398835379848;2,02631593736
"CN";"b";"stratified";"9";0,21977560189153;2,3468096817
"CN";"b";"stratified";"10";0,698949900163049;4,309598755
"CN";"b";"uniform";"1";0,0912393017595178;0,5992593695
"CN";"b";"uniform";"2";0,168985759516993;0,772620984080001
"CN";"b";"uniform";"3";0,169051320810721;0,96851704114
"CN";"b";"uniform";"4";0,17895099612104;1,2536845068
"CN";"b";"uniform";"5";0,284203063390299;1,4130735003
"CN";"b";"uniform";"6";0,33410588861464;1,71088576956
"CN";"b";"uniform";"7";0,30435784811236;1,8841659507
"CN";"b";"uniform";"8";0,357875169920583;2,02631593736
"CN";"b";"uniform";"9";0,276437623517834;2,3468096817
"CN";"b";"uniform";"10";0,468007273035792;4,309598755
"CN";"c";"random";"1";0,0189979090567553;0,5992593695
"CN";"c";"random";"2";0,0501911122527923;0,772620984080001
"CN";"c";"random";"3";0,0238337598537588;0,96851704114
"CN";"c";"random";"4";0,0343314895652504;1,2536845068
"CN";"c";"random";"5";0,0136483160463968;1,4130735003
"CN";"c";"random";"6";0,0202502320843996;1,71088576956
"CN";"c";"random";"7";0,0130230913617859;1,8841659507
"CN";"c";"random";"8";0,0215199941332686;2,02631593736
"CN";"c";"random";"9";0,0149340800254942;2,3468096817
"CN";"c";"random";"10";0,0467575954151232;4,309598755
