"area";"a";"b";"c";"a01";"b01";"decile"
"LC";1,43863;1,09024;0,12537;1,10966070567695;1,41365520828999;1,61600658403148
"LC";1,48285;1,91416;0,16479;1,14376898675341;2,48183399801914;2,50057691087854
"LC";2,2083;0,2591;0,17176;1,70333145864218;0,336115982035636;0,347203302418396
"LC";1,22111;1,6828;0,21162;0,941880667238399;2,18188516221987;2,28656129034242
"LC";2,46437;1,68698;0,1109;1,90084632827697;2,18730436231341;2,28656129034242
"LC";2,07488;0,54207;0,20064;1,6004204034359;0,70297508501852;1,03073038101067
"LC";2,51134;-0,5151;0,0477;1,93707577111192;-0,66760284868617;0,0123421127150837
"LC";1,47886;0,19951;0,22972;1,14069137387474;0,258859969218906;0,347203302418396
"LC";2,46676;2,21741;0,13534;1,90268981067798;2,87498529667115;7,06767001975664
"MT";1,50087;2,33109;0,12155;1,15766838125811;3,02236679586575;3,24357646934901
"MT";1,5867;-0,08552;0,20086;1,22387176806935;-0,110669840030172;1,09607063591837
"MT";3,35137;3,34168;0,16605;2,58501741183248;4,33255565293001;4,33255565293001
"MT";2,75624;0,62447;0,09203;2,12597486734951;0,809803335666256;1,09607063591837
"MT";1,18053;2,23254;0,20706;0,910580032998622;2,8946007266748;2,90475200340504
"MT";1,73821;2,6803;0,13986;1,34073621098874;3,47510336635963;3,66603293520541
"MT";2,09221;0,99371;0,1329;1,61378757917211;1,28850798699113;1,42398021057347
"MT";1,5164;1,9226;0,2304;1,16964716020695;2,49277611495442;2,66997358633829
"MT";3,25442;1,5772;0,1355;2,51023681820147;2,04497905459365;2,16357656324357
"MT";2,73149;2,49854;0,13472;2,10688441152313;3,2394589144454;3,24357646934901
"MT";3,29625;2,86173;0,25529;2,54250161687692;3,71031998668753;4,33255565293001
"MT";2,26511;2,77688;0,23479;1,74715080391477;3,60031541062611;3,66603293520541
"MT";2,96092;0,8958;0,18532;2,2838510087048;1,1615716517858;1,42398021057347
"MT";2,88702;2,82281;0,13958;2,22684960726765;3,65986178868741;3,66603293520541
"MT";2,13749;1,78181;0,156;1,64871347169002;2,31024760271298;2,42247560656397
"MT";2,99017;1,89021;0,15884;2,30641245649961;2,45078379652626;2,66997358633829
"MT";2,94722;2,06568;0,12112;2,2732837664898;2,67827351911313;2,90475200340504
"MT";1,08432;0,84339;0,01494;0,836370224713532;1,09362421712017;1,09607063591837
"MT";2,18282;2,31084;0,14885;1,68367793078537;2,9961134939772;3,24357646934901
"MT";2,59667;1,34028;0,15449;2,00289349214889;1,73782190479436;2,16357656324357
"MT";2,04724;1,08171;0,1794;1,57910079943424;1,40259641001299;1,42398021057347
"MT";;;;;;
"MT";1,78193;3,29884;0,18914;1,37445882629093;4,27701533426801;4,33255565293001
"MT";0,96583;2,50648;0,2049;0,744975149526957;3,24975280170442;3,66603293520541
"MT";1,75839;2,40752;0,16633;1,35630168163829;3,12145518417893;3,24357646934901
"MT";4,06335;2,18033;0,2161;3,1341900477624;2,82691258387967;2,90475200340504
"MT";2,14544;1,73587;0,22609;1,65484555750092;2,25068826005816;2,42247560656397
"MT";1,57033;2,17738;0,11432;1,21124507061974;2,82308802878974;2,90475200340504
"MT";2,31216;0,44069;0,18915;1,78344195327361;0,571540035859936;1,09607063591837
"MT";2,5968;2,82961;0,09691;2,0029937652502;3,66867771228455;4,33255565293001
"MT";2,59012;2,03367;0,18389;1,99784127050595;2,63677385523893;2,66997358633829
"MT";2,00634;1,15438;0,14059;1,54755333909893;1,49681011116069;1,73702847167061
"MT";3,19891;1,60834;0,17181;2,46742020394198;2,08535079883115;2,16357656324357
"MT";1,89497;1,65188;0,27993;1,46165014453796;2,14179863903992;2,16357656324357
"MT";1,22121;2,10949;0,09007;0,941957800393253;2,73507140334708;2,90475200340504
"MT";1,33979;1,93473;0,18699;1,0334222954192;2,5085021669005;2,66997358633829
"MT";2,73154;1,76976;0,1412;2,10692297810056;2,2946252675151;2,42247560656397
"MT";2,42448;3,0197;0,15362;1,87007791280569;3,91512167060528;4,33255565293001
"MT";1,53928;1,60311;0,19657;1,18729522603756;2,07857031641747;2,16357656324357
"MT";2,75865;1,15201;0,15163;2,1278337763815;1,49373750249522;1,73702847167061
"MT";1,2009;0,84968;0,16359;0,926292056642394;1,10177894644752;1,42398021057347
"MT";1,25662;-0,40358;0,20406;0,969270650527076;-0,523021701693021;1,09607063591837
"MT";0,93375;1,1092;0,07392;0,720230833449775;1,43823607761379;1,73702847167061
"MT";2,99305;1,84654;0,06394;2,30863389135941;2,39416741660167;2,42247560656397
"MT";3,02476;1,33416;0,11462;2,33309281476363;1,72988757355693;1,73702847167061
