"area";"sample";"parameter";"rmse";"mad";"bias";"estimation.mean";"real.par";"correlation"
"CH";"random";"c";0,00896455687027668;0,00705083076609196;-0,00536162703125348;0,163858372968747;0,16922;0,969927730745206
"CH";"random";"c";0,015751072539986;0,0147159533081549;-0,0147159533081549;0,181114046691845;0,19583;0,969927730745206
"CH";"random";"c";0,0219115579277775;0,0194640464921233;-0,0194124580522232;0,178667541947777;0,19808;0,969927730745206
"CH";"random";"c";0,00803100045351088;0,00639890591263316;0,00223395646158137;0,175803956461581;0,17357;0,969927730745206
"CH";"uniform";"a";0,441202799860579;0,425045447225666;-0,425045447225666;2,72103237309309;3,14607782031876;0,876785378020384
"CH";"uniform";"a";0,830308812313168;0,825695856585682;-0,825695856585682;1,38040333315699;2,20609918974268;0,876785378020384
"CH";"uniform";"a";0,290238869770979;0,280613562430578;-0,280613562430578;1,64119215389032;1,9218057163209;0,876785378020384
"CH";"uniform";"a";0,383979557712782;0,371329993154162;-0,371329993154161;2,40129933638016;2,77262932953432;0,876785378020384
"CH";"uniform";"a";0,383741956193738;0,379868438947536;0,379868438947536;1,57213983063127;1,19227139168373;0,876785378020384
"CH";"uniform";"a";0,202947135451444;0,197061640951778;0,197061640951778;1,13025547943455;0,933193838482771;0,876785378020384
"CH";"uniform";"a";0,233257147478969;0,22040385084982;0,22040385084982;2,09641667250417;1,87601282165435;0,876785378020384
"CH";"uniform";"a";0,174171169227799;0,162854992272607;0,162854992272607;1,88921951902891;1,7263645267563;0,876785378020384
"CH";"uniform";"a";1,033051950138;1,01771270801463;1,01771270801463;4,45778928178366;3,44007657376903;0,876785378020384
"CH";"uniform";"a";0,597316657220135;0,593294267529921;-0,593294267529921;0,861090916336164;1,45438518386609;0,876785378020384
"CH";"uniform";"a";0,105377542472835;0,0919179003309366;-0,0884706589958995;1,45261205848251;1,54108271747841;0,876785378020384
"CH";"uniform";"a";0,284251925252513;0,275085475262094;-0,275085475262094;1,54900855020314;1,82409402546523;0,876785378020384
"CH";"uniform";"a";0,106626986132155;0,0949752875611049;0,0943152275323402;1,28787768857766;1,19356246104532;0,876785378020384
"CH";"uniform";"a";0,0727411077406082;0,0611797263647564;0,0584093627282865;1,21917866198926;1,16076929926097;0,876785378020384
"CH";"uniform";"a";0,284062324996723;0,276023102012773;-0,274619144872346;1,4585390779039;1,73315822277624;0,876785378020384
"CH";"uniform";"a";0,0896346486650204;0,0785352050479447;-0,0783944132302283;1,17894687427756;1,25734128750779;0,876785378020384
"CH";"uniform";"a";0,482634133914158;0,477921662701246;-0,477921662701246;1,48150314363835;1,9594248063396;0,876785378020384
